"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","gene"
"LTA",3.90997577573116e-09,0.324125304158688,0.188,0.425,0.000227568410099105,"up","LTA"
"AL135910.1",3.91471484739534e-09,0.172404893840494,0.292,0.5,0.000227844233548104,"up","AL135910.1"
"AL359922.2",3.92412666410509e-09,0.139094788003559,0.135,0.349,0.000228392020104244,"up","AL359922.2"
"TBC1D22A-AS1",3.94760703542882e-09,0.155046816489524,0.156,0.255,0.000229758624676028,"up","TBC1D22A-AS1"
"LINC01132",3.95804294461221e-09,0.650902205022426,0.615,0.745,0.00023036601546232,"up","LINC01132"
"AC093390.2",3.97129682152668e-09,0.151049376691656,0.135,0.264,0.000231137417606496,"up","AC093390.2"
"AL162293.1",4.00027923112845e-09,0.159798937443693,0.094,0.264,0.000232824251810138,"up","AL162293.1"
"PRKG1-AS1",4.01696638142754e-09,0.181606320650211,0.281,0.443,0.000233795477331846,"up","PRKG1-AS1"
"AC010973.2",4.03017882201683e-09,0.202139232172401,0.146,0.292,0.000234564467799023,"up","AC010973.2"
"Z98884.2",4.05350033783807e-09,0.149149465002635,0.125,0.34,0.000235921826662852,"up","Z98884.2"
"OR2AG2",4.10118045411117e-09,0.152083851857089,0.125,0.292,0.000238696904790178,"up","OR2AG2"
"AL590133.1",4.12706424932757e-09,0.139979179730773,0.115,0.311,0.000240203393439363,"up","AL590133.1"
"LEMD1-AS1",4.13801061205651e-09,0.140790005001811,0.208,0.425,0.000240840493642913,"up","LEMD1-AS1"
"AC246817.1",4.14177916174497e-09,0.197974689158351,0.219,0.311,0.000241059830771881,"up","AC246817.1"
"AC005609.4",4.16063131875622e-09,0.132829467814168,0.094,0.349,0.00024215706401425,"up","AC005609.4"
"AC009955.1",4.16505555321318e-09,0.150521468990171,0.125,0.311,0.000242414563308114,"up","AC009955.1"
"LINC02805",4.19526455171462e-09,0.211901689386068,0.188,0.434,0.000244172787438894,"up","LINC02805"
"AC114489.1",4.22615282322208e-09,0.206122181896518,0.229,0.406,0.000245970546617171,"up","AC114489.1"
"AC006249.1",4.24055188697343e-09,0.149133767751199,0.208,0.368,0.000246808600925628,"up","AC006249.1"
"AC006538.3",4.24415480116716e-09,0.206031274813569,0.146,0.302,0.000247018297737531,"up","AC006538.3"
"ZNF557",4.25517775895758e-09,1.11240194321655,0.917,1,0.000247659855926849,"up","ZNF557"
"AC116036.2",4.25748133054895e-09,0.217944598412743,0.24,0.453,0.00024779392840061,"up","AC116036.2"
"LINC00592",4.29046563223602e-09,0.158278581261521,0.146,0.302,0.000249713680727401,"up","LINC00592"
"SNHG26",4.29826012336869e-09,0.213031094985515,0.344,0.5,0.000250167335700304,"up","SNHG26"
"CCM2L",4.30212566114342e-09,0.315805230513944,0.26,0.509,0.000250392317729869,"up","CCM2L"
"AC079340.2",4.34647508061749e-09,0.226630981364845,0.208,0.311,0.000252973542642099,"up","AC079340.2"
"AC090948.3",4.3641978268091e-09,0.155602810010298,0.135,0.425,0.000254005041915943,"up","AC090948.3"
"GLE1",4.36928423333865e-09,1.10000593206172,0.885,1,0.000254301080948776,"up","GLE1"
"RAB40AL",4.52169882000188e-09,0.139377328762187,0.135,0.321,0.000263171914721749,"up","RAB40AL"
"SCN3A",4.54207244946063e-09,1.02251605693035,0.885,0.981,0.000264357700703508,"up","SCN3A"
"AC097382.2",4.60990209309722e-09,0.327479086044076,0.333,0.443,0.000268305521622445,"up","AC097382.2"
"AP001053.1",4.63417149189319e-09,0.185070951633626,0.167,0.396,0.000269718049171168,"up","AP001053.1"
